WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age,HowManyKids,FT.Communists,InterviewDuration,LookedAtEclipse,StolenStreetSign,StealShampoo,BeesOrBear,RunOutOfGas,weights
991029,1,0,0,11,6,8,0,1,0,64,0,2,190,0,0,1,,0,0.34
991030,1,0,0,15,13,3,1,0,1,60,0,7,17,0,0,1,1,0,1.72
991031,1,0,0,9,7,5,0,1,0,51,2,5,30,0,0,1,1,0,0.52
991036,1,0,0,13,,7,1,0,0,51,4,2,17,1,0,1,0,0,0.73
991037,0,1,0,12,4,3,1,0,1,63,0,2,18122,0,0,1,,0,0.06
991042,1,0,0,13,7,4,1,0,0,35,0,7,27353,0,0,1,,0,0.63
991043,1,0,0,15,11,3,0,0,1,29,0,8,9125,0,0,1,0,0,0.68
991047,1,0,0,12,11,4,1,1,0,50,2,2,80,0,1,1,,0,0.36
991048,1,0,0,10,3,4,1,0,0,43,0,4,92,1,0,1,,1,0.77
991050,1,0,0,12,3,5,1,1,0,34,0,1,29,,0,,0,0,0.18
991053,1,0,0,9,4,7,0,0,1,61,0,2,62,0,0,0,0,0,0.43
991054,0,1,0,10,1,1,1,0,1,51,0,7,23,0,0,0,,0,0.22
991060,1,0,0,15,10,6,0,1,0,43,2,5,71,0,1,1,0,0,0.68
991061,1,0,0,13,4,1,1,0,0,38,2,9,24,0,0,0,1,0,0.57
991066,0,0,1,14,8,5,1,0,1,38,3,5,5718,0,0,0,,1,1.01
991067,1,0,0,12,5,1,0,0,1,29,0,2,18918,0,0,1,,0,1.89
991068,1,0,0,12,6,2,1,0,0,31,0,2,8,0,0,1,1,0,1.17
991069,0,0,0,9,5,8,0,0,1,60,2,7,22,0,0,0,,0,2.03
991073,1,0,0,11,10,4,0,0,0,41,2,7,17,0,0,1,1,0,0.79
991081,1,0,0,13,10,2,0,0,0,52,1,6,14,,0,1,0,0,0.17
991083,1,0,0,9,10,2,1,0,1,57,0,2,21,0,0,1,,0,0.98
991085,1,0,0,15,9,1,0,0,1,69,0,5,47,0,0,1,0,0,0.48
991086,1,0,0,9,7,7,0,1,0,43,0,2,705,0,0,0,1,0,2.06
991087,1,0,0,12,12,3,0,0,1,36,0,3,14,0,0,1,1,0,1.77
991090,1,0,0,12,4,2,1,0,1,51,1,2,19,0,0,1,1,0,0.1
991091,1,0,0,13,11,3,1,0,0,64,0,6,28,0,0,1,0,0,0.34
991093,1,0,0,11,5,6,0,1,0,63,0,2,28,0,0,1,,0,0.31
991094,1,0,0,14,9,4,1,1,0,59,0,5,21,0,1,1,0,0,0.43
991095,1,0,0,12,4,6,1,0,0,61,0,3,71,0,0,1,,0,0.29
991097,1,0,0,10,6,7,0,1,0,69,0,2,20,0,0,1,,0,0.13
991098,1,0,0,12,11,6,1,1,0,44,2,3,24,0,0,1,1,0,0.81
991099,1,0,0,12,2,3,1,0,1,50,0,7,31,0,0,1,0,0,0.13
991102,1,0,0,12,8,2,1,0,1,70,0,6,27440,0,,1,1,0,0.18
991106,0,0,0,12,4,4,0,1,0,71,0,7,29,0,0,1,1,0,0.08
991110,1,0,0,6,2,6,1,0,0,83,0,2,11567,0,0,1,0,0,7.38
991113,0,0,0,13,7,6,0,0,0,29,0,3,15,0,0,0,0,0,1.71
991117,1,0,0,15,5,2,0,0,1,41,2,7,18,0,0,1,0,0,0.25
991120,1,0,0,13,12,2,1,0,1,64,0,7,23,0,0,1,1,0,1.37
991121,1,0,0,14,10,4,0,0,1,67,0,5,31,,0,1,,0,0.26
991124,1,0,0,12,3,6,0,0,0,72,1,2,3588,1,0,1,0,0,0.33
991125,1,0,0,12,4,4,1,0,1,24,0,7,14,1,0,1,1,0,0.67
991127,1,0,0,11,2,7,0,0,0,70,0,2,34,0,0,1,,0,0.12
991131,0,0,1,9,8,5,0,0,0,92,0,4,37,0,0,1,,0,1.72
991132,0,1,0,10,3,2,1,0,1,72,0,2,65,0,0,1,,1,0.56
991136,0,1,0,14,13,4,0,0,0,50,1,3,21,0,0,1,0,0,1.48
991450,1,0,0,12,9,3,1,0,0,79,0,6,30,0,0,1,,0,0.19
991453,1,0,0,12,10,6,0,0,0,58,0,6,15,0,0,1,0,0,0.31
991454,1,0,0,13,8,4,0,0,0,43,0,7,18,0,1,1,0,0,0.37
991461,0,1,0,13,10,2,1,0,1,42,1,2,26,0,0,0,0,0,1.97
991464,1,0,0,13,12,1,0,0,1,39,2,3,19,0,0,1,0,0,2.83
991467,1,0,0,12,6,2,1,1,0,53,0,7,46,,0,1,0,0,0.36
991469,0,0,0,10,3,4,1,0,1,28,4,,,0,0,0,0,0,7.38
991472,1,0,0,13,10,2,1,0,1,60,0,2,23,0,0,1,,0,0.73
991477,0,0,1,15,14,4,0,0,1,43,2,4,33,0,0,1,0,0,2.9
991485,1,0,0,12,12,7,0,1,0,60,0,2,22,0,0,1,0,0,1.27
991488,0,1,0,10,2,4,0,0,1,57,0,7,4336,1,0,1,0,0,3.82
991492,1,0,0,13,9,6,1,1,0,68,0,4,21,0,0,1,,0,0.06
991494,1,0,0,13,12,1,1,0,1,69,0,4,42,0,0,1,0,0,0.95
991497,1,0,0,12,8,2,0,0,1,85,0,2,33,0,0,1,,0,0.25
991500,1,0,0,12,10,4,1,0,1,55,0,7,16,0,0,0,,0,0.26
991501,0,1,0,11,9,4,0,0,1,59,0,5,7859,0,0,1,0,0,0.54
991506,1,0,0,9,5,6,0,1,0,47,1,7,25,0,0,1,,0,0.83
991507,1,0,0,12,5,6,0,1,0,73,0,2,4385,0,0,0,1,0,0.15
991624,0,0,0,10,3,2,0,0,1,27,0,7,4995,0,0,0,,0,3.24
991625,1,0,0,9,3,4,1,0,0,71,0,5,43,0,0,1,,0,0.25
991628,1,0,0,9,1,8,1,0,1,55,0,6,18,0,0,0,1,0,1.17
991629,1,0,0,12,7,2,0,0,1,57,0,5,15,0,0,1,0,0,0.31
991630,1,0,0,9,1,1,1,0,1,69,0,4,42,0,0,1,,0,5.9
991632,1,0,0,14,7,2,0,0,1,36,2,3,18,0,0,0,0,0,1.7
991633,1,0,0,12,8,6,0,0,1,57,0,3,18,0,0,1,,0,0.58
991638,0,1,0,12,10,3,1,0,1,53,1,7,5335,0,0,1,0,0,0.7
991828,0,1,0,12,5,4,1,0,0,56,0,7,20,0,0,1,1,0,0.19
991830,1,0,0,12,12,2,0,0,1,62,0,7,21,0,0,1,,0,0.48
991831,1,0,0,15,14,3,0,0,1,,0,5,42,0,0,1,,0,7.08
991833,1,0,0,15,11,2,1,0,1,42,2,4,18,0,0,1,0,0,3.42
991834,1,0,0,12,4,2,0,0,1,31,1,2,15,0,0,1,,0,0.78
991836,1,0,0,11,13,3,0,0,1,69,0,2,32,0,1,0,,0,0.99
991838,1,0,0,15,14,3,0,1,0,78,0,2,34,0,0,1,,0,1.15
991843,1,0,0,13,13,2,0,0,1,42,2,10,10,0,0,1,0,0,3.19
991848,1,0,0,12,15,4,1,0,0,71,0,2,49,0,0,1,0,0,0.34
991849,1,0,0,9,2,1,0,0,0,24,0,6,25,0,0,0,0,0,2.85
993277,1,0,0,12,13,5,0,0,0,54,2,3,11519,0,0,1,,0,0.68
993278,0,1,0,10,5,4,0,0,1,46,1,8,294,0,0,0,,0,0.32
993286,1,0,0,13,12,2,1,0,1,55,1,3,13,0,0,1,,0,0.81
993289,0,1,0,12,4,2,1,0,1,69,0,2,27,0,0,1,,0,0.39
993290,1,0,0,12,8,7,0,1,0,84,0,3,22,0,0,1,1,0,0.42
993293,1,0,0,9,7,6,0,1,0,81,0,2,33,0,0,1,1,0,0.51
993294,1,0,0,9,4,8,1,1,0,83,0,4,29,0,0,1,1,0,6.87
993302,1,0,0,10,5,4,1,0,0,80,0,2,31,0,0,1,1,0,0.18
993303,1,0,0,15,12,8,0,0,0,40,2,2,19,0,0,1,0,0,2.69
993308,1,0,0,12,5,3,0,0,1,65,0,6,37,0,0,1,,0,0.14
993309,0,1,0,11,4,4,1,0,1,56,1,2,31,0,0,1,,0,0.76
993310,1,0,0,10,2,3,0,0,0,45,0,,,0,0,1,1,0,0.4
993312,1,0,0,12,8,1,1,0,1,62,0,2,49,0,0,1,,0,0.32
993315,1,0,0,11,4,5,1,0,0,44,3,2,22,0,0,1,,1,0.65
993316,1,0,0,15,5,3,0,0,1,71,0,6,28,0,0,1,0,0,0.48
993320,1,0,0,12,6,5,1,1,0,38,2,2,17,0,0,1,1,0,0.3
993325,1,0,0,10,5,7,0,0,0,45,2,2,16,1,0,1,0,0,2.22
993328,1,0,0,11,9,5,1,0,0,62,0,4,1959,1,0,0,0,0,0.6
993332,1,0,0,10,5,4,1,1,0,36,2,5,22,0,0,1,0,0,1.17
993335,1,0,0,10,5,3,0,0,1,58,1,2,41,,0,0,1,0,7.38
993336,0,0,0,11,8,8,0,0,1,46,1,2,3051,0,0,1,1,0,1.09
993337,1,0,0,12,4,5,1,1,0,31,3,3,13,0,0,1,,0,0.3
993339,1,0,0,13,11,3,0,0,1,42,1,2,8,0,0,1,0,0,0.8
993340,1,0,0,14,6,1,0,0,1,73,0,8,1789,0,0,1,0,0,0.13
993341,0,0,0,9,3,3,1,0,1,71,0,7,8036,0,0,1,0,,1.14
993345,1,0,0,10,5,8,1,0,1,44,2,7,12,1,0,1,,0,1.2
