ID,VotedFor,PresVote,PartyID,Age,FamIncome,Female,White,FT.Bush,FT.Clinton,FT.Perot
3812,Clinton,2,1,33,22,1,White,15,85,40
3813,Bush,1,2,64,22,0,White,85,60,60
3815,Bush,1,6,60,13,1,White,70,30,50
3817,Perot,3,7,28,17,0,White,70,85,50
3818,Perot,3,4,28,13,1,White,15,0,85
3821,Bush,1,7,29,19,1,White,100,0,70
3822,Clinton,2,1,44,15,0,White,30,85,60
3825,Clinton,2,3,25,18,1,White,50,60,40
3826,Perot,3,3,24,14,0,White,40,60,70
3827,Clinton,2,2,48,15,0,White,25,60,50
3828,Bush,1,7,37,17,1,White,98,15,15
3829,Clinton,2,6,26,16,1,White,70,70,60
3832,Perot,3,4,31,17,0,White,60,40,0
3833,Clinton,2,1,47,19,0,White,50,85,60
3835,Bush,1,2,55,19,0,White,85,70,50
3836,Clinton,2,1,39,3,0,Non-White,50,100,85
3837,Bush,1,2,44,12,1,White,100,50,100
3839,Bush,1,6,32,16,1,White,85,15,85
3840,Perot,3,3,32,17,1,White,0,40,40
3841,Clinton,2,3,40,14,0,White,50,85,40
3842,Bush,1,4,18,17,1,White,70,50,70
3843,Clinton,2,2,23,5,0,White,40,85,85
3844,Clinton,2,1,43,9,1,Non-White,50,85,60
3847,Bush,1,6,73,6,1,White,60,30,0
3848,Perot,3,4,51,18,0,White,40,30,50
3849,Perot,3,5,39,19,0,White,75,50,50
3851,Clinton,2,1,66,21,1,White,50,70,50
3852,Clinton,2,5,50,15,1,White,40,50,30
3855,Clinton,2,1,31,16,1,White,40,70,30
3857,Bush,1,6,45,22,1,White,100,15,30
3858,Bush,1,6,49,22,0,White,85,50,40
3861,Bush,1,7,36,23,0,White,85,30,30
3862,Perot,3,5,48,24,0,White,15,15,60
3863,Clinton,2,2,42,16,1,White,15,85,50
3864,Clinton,2,3,35,7,1,White,70,60,70
3868,Bush,1,2,41,16,1,White,70,60,40
3869,Bush,1,5,31,20,1,White,70,40,85
3871,Clinton,2,3,52,22,0,White,50,60,50
3873,Clinton,2,1,40,21,0,White,40,60,0
3874,Bush,1,6,34,20,1,White,70,50,30
3875,Clinton,2,2,65,15,1,White,0,85,50
3876,Perot,3,4,66,8,1,White,50,50,60
3878,Perot,3,3,39,18,0,White,50,15,50
3879,Clinton,2,2,35,18,0,White,0,70,0
3881,Clinton,2,1,54,20,1,White,40,85,0
3882,Clinton,2,2,32,19,1,White,70,85,70
3883,Clinton,2,2,45,17,1,White,0,85,70
3885,Clinton,2,1,53,14,1,White,30,70,0
3886,Bush,1,7,35,24,1,White,85,0,40
3887,Bush,1,4,49,20,0,White,50,50,0
3888,Clinton,2,1,37,21,0,White,30,70,50
3889,Clinton,2,2,53,20,0,White,35,65,15
3891,Clinton,2,1,70,11,0,Non-White,25,50,25
3892,Clinton,2,2,31,22,1,White,40,85,85
3893,Clinton,2,1,37,21,1,White,70,85,60
3894,Clinton,2,1,41,20,0,White,15,70,40
3895,Clinton,2,1,34,24,1,Non-White,30,70,30
3896,Clinton,2,3,51,16,1,White,30,85,60
3897,Clinton,2,2,30,18,1,White,40,95,80
3899,Bush,1,5,42,21,1,White,95,10,40
3900,Clinton,2,2,69,10,1,White,40,90,70
3901,Bush,1,6,37,15,0,White,80,30,50
3902,Bush,1,7,38,21,1,White,70,15,15
3903,Bush,1,5,30,15,1,White,15,40,40
3904,Clinton,2,3,43,20,0,White,60,85,30
3905,Clinton,2,2,34,19,1,Non-White,60,70,60
3906,Clinton,2,4,33,19,0,Non-White,20,60,80
3907,Bush,1,2,54,21,1,White,90,20,50
3908,Clinton,2,1,57,10,1,White,70,85,15
3913,Bush,1,7,65,20,0,White,85,60,60
3916,Perot,3,4,32,9,0,White,40,60,85
3917,Clinton,2,1,53,16,0,Non-White,40,85,60
3919,Bush,1,5,54,19,1,White,70,30,60
3921,Bush,1,7,51,22,0,White,70,60,70
3923,Perot,3,5,27,20,1,White,60,30,70
3925,Clinton,2,3,39,16,0,White,0,60,50
3926,Bush,1,6,58,22,1,White,85,15,60
3927,Perot,3,7,42,23,0,White,50,20,60
3928,Perot,3,6,34,16,1,White,70,30,85
3930,Bush,1,7,43,16,0,White,50,50,50
3932,Clinton,2,2,35,18,0,Non-White,15,70,60
3933,Clinton,2,3,32,7,1,Non-White,50,60,50
3934,Bush,1,5,44,24,0,White,85,30,85
3935,Perot,3,3,40,20,0,White,30,60,60
3936,Clinton,2,3,38,18,0,White,30,60,30
3937,Bush,1,5,28,21,0,White,60,15,50
3938,Clinton,2,4,35,21,0,White,70,70,50
3939,Bush,1,5,48,20,0,White,40,30,15
3940,Perot,3,7,69,16,0,White,60,30,70
3941,Clinton,2,1,53,16,1,White,15,85,60
3942,Bush,1,2,26,6,1,White,85,70,60
3943,Bush,1,5,32,16,0,White,80,20,40
3944,Perot,3,6,40,18,1,White,60,70,85
3945,Bush,1,7,36,17,0,White,65,25,25
3946,Bush,1,7,37,20,0,White,70,70,40
3948,Perot,3,5,44,21,1,White,60,40,70
3950,Clinton,2,1,56,21,1,White,50,70,50
3952,Clinton,2,1,45,15,1,Non-White,40,85,40
3954,Clinton,2,1,64,17,0,White,50,70,60
3955,Perot,3,6,28,21,0,White,50,50,60
3956,Bush,1,7,65,22,0,White,70,70,50
